Korean component worksheet map
The jamo is printed in each cell. Write it once, large, inside the matching cell.
L01 = ㄱ    (L:ㄱ)
L02 = ㄲ    (L:ㄲ)
L03 = ㄴ    (L:ㄴ)
L04 = ㄷ    (L:ㄷ)
L05 = ㄸ    (L:ㄸ)
L06 = ㄹ    (L:ㄹ)
L07 = ㅁ    (L:ㅁ)
L08 = ㅂ    (L:ㅂ)
L09 = ㅃ    (L:ㅃ)
L10 = ㅅ    (L:ㅅ)
L11 = ㅆ    (L:ㅆ)
L12 = ㅇ    (L:ㅇ)
L13 = ㅈ    (L:ㅈ)
L14 = ㅉ    (L:ㅉ)
L15 = ㅊ    (L:ㅊ)
L16 = ㅋ    (L:ㅋ)
L17 = ㅌ    (L:ㅌ)
L18 = ㅍ    (L:ㅍ)
L19 = ㅎ    (L:ㅎ)
V20 = ㅏ    (V:ㅏ)
V21 = ㅐ    (V:ㅐ)
V22 = ㅑ    (V:ㅑ)
V23 = ㅒ    (V:ㅒ)
V24 = ㅓ    (V:ㅓ)
V25 = ㅔ    (V:ㅔ)
V26 = ㅕ    (V:ㅕ)
V27 = ㅖ    (V:ㅖ)
V28 = ㅗ    (V:ㅗ)
V29 = ㅘ    (V:ㅘ)
V30 = ㅙ    (V:ㅙ)
V31 = ㅚ    (V:ㅚ)
V32 = ㅛ    (V:ㅛ)
V33 = ㅜ    (V:ㅜ)
V34 = ㅝ    (V:ㅝ)
V35 = ㅞ    (V:ㅞ)
V36 = ㅟ    (V:ㅟ)
V37 = ㅠ    (V:ㅠ)
V38 = ㅡ    (V:ㅡ)
V39 = ㅢ    (V:ㅢ)
V40 = ㅣ    (V:ㅣ)
T41 = ㄱ    (T:ㄱ)
T42 = ㄲ    (T:ㄲ)
T43 = ㄳ    (T:ㄳ)
T44 = ㄴ    (T:ㄴ)
T45 = ㄵ    (T:ㄵ)
T46 = ㄶ    (T:ㄶ)
T47 = ㄷ    (T:ㄷ)
T48 = ㄹ    (T:ㄹ)
T49 = ㄺ    (T:ㄺ)
T50 = ㄻ    (T:ㄻ)
T51 = ㄼ    (T:ㄼ)
T52 = ㄽ    (T:ㄽ)
T53 = ㄾ    (T:ㄾ)
T54 = ㄿ    (T:ㄿ)
T55 = ㅀ    (T:ㅀ)
T56 = ㅁ    (T:ㅁ)
T57 = ㅂ    (T:ㅂ)
T58 = ㅄ    (T:ㅄ)
T59 = ㅅ    (T:ㅅ)
T60 = ㅆ    (T:ㅆ)
T61 = ㅇ    (T:ㅇ)
T62 = ㅈ    (T:ㅈ)
T63 = ㅊ    (T:ㅊ)
T64 = ㅋ    (T:ㅋ)
T65 = ㅌ    (T:ㅌ)
T66 = ㅍ    (T:ㅍ)
T67 = ㅎ    (T:ㅎ)
X68 = 0    (X:0)
X69 = 1    (X:1)
X70 = 2    (X:2)
X71 = 3    (X:3)
X72 = 4    (X:4)
X73 = 5    (X:5)
X74 = 6    (X:6)
X75 = 7    (X:7)
X76 = 8    (X:8)
X77 = 9    (X:9)
X78 = .    (X:.)
X79 = ,    (X:,)
X80 = ?    (X:?)
X81 = !    (X:!)
X82 = -    (X:-)
X83 = (    (X:()
X84 = )    (X:))
